Symbol	KmeansGroup	FoldChangeQ95	MmLDSmExp1	MmLDSmExp2	MmLDSmExp3	MmLDSmExp4	MmLDSmExp5	MmLDSmExp6	MmLDSmExp8	MmLDSmExp9	MmLDSmExp10	MmLDSmExp11	MmLDSmExp12	MmLDSmExp13	MmLDSmExp15	MmLDSmExp16	MmLDSmExp17	MmLDSmExp18	MmLDSmExp19	MmLDSmExp20	MmLDSmExp21	MmLDSmExp22	MmLDSmExp23	MmLDSmExp24	MmLDSmExp25	MmLDSmExp26	MmLDSmExp27	MmLDSmExp29	MmLDSmExp33	MmLDSmExp36	MmLDSmExp37	MmLDSmExp38	MmLDSmExp41	MmLDSmExp43	MmLDSmExp44	MmLDSmExp45	MmLDSmExp46	MmLDSmExp48	MmLDSmExp50
ENSG00000070061	IKBKAP	1	2.702158167	-0.26024374	0.324477464	-0.665387158	0.285004486	-0.719022795	-0.550161434	-0.672341128	-0.684479582	0.319994188	-0.049998634	0.294009849	0.755200327	0.699758014	0.418692854	-0.386495211	0.98314641	1.679108777	0.769959595	1.148111224	1.634280855	-0.554751248	0.259401998	0.773011076	0.761436624	1.665503016	0.592888094	-0.876057566	-0.891269132	-0.609122959	-1.029251189	-0.999961224	-1.207049079	-1.157096237	-1.223083886	-1.297896201	-1.415450245	-0.81702437
ENSG00000070669	ASNS	1	2.599073233	0.16022592	-0.661593129	-0.691829693	-0.75405211	-0.728622022	-0.604832881	-0.117118476	-0.66447976	-0.321120172	0.728191708	0.132876922	0.832542859	0.489631971	-0.325784131	1.005909294	0.943462294	1.410752656	1.120621463	1.353271796	1.274752688	1.297727767	0.632615975	1.736094301	-0.808300575	0.237859302	0.165360795	-0.879903147	-0.920295621	-0.870724261	-0.952212834	-0.987828267	-1.080357051	0.065072589	-1.117284568	-1.170950169	-1.230557959	-1.298196706
ENSG00000071564	TCF3	1	2.85475513	-0.30972925	-0.071805747	-0.651585859	-0.68564128	-0.711135535	-0.717260258	-0.457439733	-0.499623037	1.349783788	0.564214817	0.923865096	1.366096044	0.662325237	0.628694908	0.81157594	0.683407794	1.348744924	0.565633487	0.49055621	-0.00349116	0.280178422	0.084002774	0.805371	0.008684846	0.005093167	-0.655015409	0.608724032	1.523851423	-1.11028304	-1.07302855	-1.130673925	-0.829767146	-1.258225983	-1.340206236	-1.427065967	-1.523545313	-1.110035611
ENSG00000071994	PDCD2	1	2.600646433	-0.162560793	0.821422258	1.116985373	-0.56268886	-0.52643689	-0.633343856	-0.487374055	1.494530422	-0.575459706	-0.370050196	0.986162996	0.23811385	1.021379544	1.298452296	0.702740719	0.433607662	-0.100651786	-0.793577538	-0.838915862	2.069592609	-0.410567589	0.618905031	0.013072436	-0.791731685	1.299468752	1.177289951	-0.897449823	-0.173770668	-0.879338094	-1.004211986	-1.05679665	-1.193411447	-0.736545717	-1.224136164	-1.327168315	-1.028994449	-0.117188201
ENSG00000073584	SMARCE1	1	2.440824042	-0.292580006	-0.749040028	0.012206093	-0.105696695	-0.635149463	1.849669342	-0.253304354	-0.758587972	0.633643628	0.910802757	0.417667478	0.298914072	0.292826201	0.88868616	0.077772446	0.532429088	0.076211013	-0.089057734	-0.933239121	-0.264229778	-0.062331105	-0.044282029	0.566977466	-0.133441826	1.222488982	0.741320959	-0.625982951	-1.059160358	-0.987227361	-1.097422146	-0.155944527	2.982554638	-1.234585529	-0.344743402	-1.359634841	-1.431090036	-1.328263104
ENSG00000074695	LMAN1	1	2.451914125	-0.471165751	0.118035028	0.316711366	-0.392117767	1.007842005	-1.057327155	-0.529493578	1.08045914	-0.296495597	-0.916668993	0.377071857	-0.066497804	-0.081803852	0.046288864	0.205833498	0.419223399	1.081862854	0.940772548	-0.396523758	0.682906268	0.419186836	-0.1546401	-0.794286853	-0.383346894	0.3533473	1.3818576	-1.269189214	-1.327208224	-1.257746438	-1.287942332	-1.386979371	-1.486312192	0.1317941	-1.389255058	0.335160179	2.370661843	1.22407212
ENSG00000075415	SLC25A3	1	2.63855353	-1.110438605	-0.204002002	-0.371231371	0.223405302	1.317565694	-1.124943287	-0.531092654	1.739047144	-0.52277639	1.019366187	-0.066494804	-0.405492519	-0.040928369	1.137017908	0.328888501	0.080631784	0.760138167	0.510144384	0.536061145	0.116078172	0.674497739	0.274699752	-0.784781591	0.378980861	1.36603077	0.931151917	0.249773064	-1.822573453	-1.777502516	-0.449446542	-1.85260894	0.342358468	-1.167644646	-0.628159136	-1.024518312	0.277896917	-1.017652265
ENSG00000076043	REXO2	1	2.45425039	-0.086430106	-0.12038965	-0.74002182	0.979512185	-0.849960707	-0.660349656	0.945346383	-0.64795952	0.578780022	0.875794047	0.34690038	0.160281179	0.374931871	-0.120281094	0.460501464	0.578746872	0.652696581	2.403591491	-0.253991312	-0.270186077	0.313114061	1.098908748	1.681127207	-0.998807582	0.450792714	-0.49439969	-1.10279521	-1.161456756	-0.971340854	-1.207809773	-1.259533675	0.031265669	-1.373983273	-0.478889886	-1.525479601	-1.057537557	0.995062539
ENSG00000080007	DDX43	1	2.728182683	-0.084129938	-0.790259846	-0.845732227	-0.695570899	-0.043994323	-0.898765871	0.344336982	0.837264852	0.059927095	1.426220708	0.691577106	-0.620628001	0.83987566	0.256695254	-0.366362023	0.096545381	2.259937427	1.436611268	0.058686286	-0.129914885	0.394681598	1.67171967	-0.911467135	0.54346131	-0.995038066	-0.055537498	-1.091549299	-1.144343905	-0.962114654	-0.795066156	-1.232611056	0.623662288	-1.335612815	0.394610434	-1.38593219	-0.416595635	0.13723042
ENSG00000082153	BZW1	1	2.572900908	-1.542210369	-1.523377051	0.332828319	-0.040344852	0.348142368	-1.45246303	0.716607077	-0.847812434	-0.136558425	0.429300892	0.035050782	0.387031804	0.327329891	0.365895429	0.900137295	0.742099375	0.025604235	0.317470748	0.622039211	0.613372403	0.949485048	0.571114827	-0.798138068	0.822338859	0.791874466	0.154564227	-0.616319305	-2.067883051	-2.172450128	0.658292389	-1.88272576	-0.268933873	0.876802875	0.278014133	0.91291351	-0.651426545	-0.750568183
ENSG00000082258	CCNT2	1	2.494318066	-0.753757256	-0.945048288	-0.481627725	-0.949581405	0.040470648	-1.07235851	0.453474793	-0.952362066	0.297563397	0.417574918	0.118857312	-0.352587996	0.454007495	-0.296261407	0.043748998	0.13000653	1.287114157	0.07031845	0.799534136	1.620995968	0.527234616	0.400800223	-0.211651204	-0.748444646	-0.734061533	0.665593294	0.804967632	-1.287847427	0.661940274	-1.324452875	-1.342679544	0.072059699	-0.757342627	-1.288717384	-1.536556965	2.383766915	1.290991337
ENSG00000084093	REST	1	2.584425999	-0.815773445	-0.66510947	-0.035164653	-1.22093203	-0.820252031	-1.397184375	1.515575481	-0.318404285	1.146707596	-0.048474973	-0.19772434	-0.26681962	0.620373259	-0.493233628	-0.159987894	0.115540846	0.859069189	1.102663803	0.528900363	-0.29221391	0.1499199	-0.440449488	1.007977919	0.54868713	0.509542507	0.250476231	-0.777081494	1.274385775	0.840072008	-0.194177702	0.163118118	-1.802105557	-1.786136747	-1.24956319	0.935364162	-1.976899766	0.804888313
ENSG00000085274	MYNN	1	2.335356662	-0.385172653	0.534239985	0.489150782	0.406354539	-0.61492758	-0.651480015	-0.302937291	1.461166967	0.700335344	-0.66106238	0.315658274	0.765136436	-0.00765737	0.41536468	-0.731804052	0.685288316	0.983946823	-0.761446988	1.546603039	-0.148199909	0.100898395	-0.199453171	-0.717497863	-0.61493992	0.8197956	0.650641093	-0.814452338	-0.859082759	-0.865522935	-0.80593935	3.085105609	-0.833022798	-1.020775531	-0.685100563	-1.136035789	-1.201898353	-1.276632935
ENSG00000085644	ZNF213	1	2.682412856	-0.132618505	0.359478887	-0.429035502	0.737619403	-0.491963674	-0.498435816	0.001677681	2.043919423	-0.350862398	1.296474457	0.5227462	-0.12637216	-0.437239278	1.980380569	0.321479781	0.74222866	-0.421857765	0.868568535	0.942086616	-0.65581236	-0.569729658	-0.042887487	0.205026606	0.980118356	-0.602221693	-0.358116545	-0.689338912	-0.819794763	-0.673080955	-0.874384726	-0.93529998	-1.093557625	-1.070087307	-1.156717812	1.561795637	-1.350456624	-1.46614212
ENSG00000085662	AKR1B1	1	2.585407996	-0.592715475	-0.17226079	-0.795962587	-0.864001917	-0.809631152	1.811746037	1.865606875	0.905278451	-0.401798671	-0.201132783	0.114698807	0.312192748	-0.334210066	0.182250128	1.185559849	0.454407036	1.435538408	0.997665808	0.760006124	0.391433767	0.683639496	0.011399411	-0.192806288	-0.934771645	-0.052650614	-0.015830761	-0.103954462	1.445513677	-1.126608063	-1.100156553	-1.141086843	-1.247420726	-1.231650816	-0.522599835	-0.760281045	-1.420033392	-1.120780132
ENSG00000087365	SF3B2	1	2.720209187	-1.159014594	-0.022753635	-1.809819367	-0.36811491	-1.252235026	-1.994555782	1.203524691	-1.0580634	-0.309081249	1.010671762	0.680919356	0.708318532	0.222304819	0.851855622	1.176098439	0.613682953	1.429578074	0.653835855	0.226163822	-0.158817858	0.786291353	0.494938808	-1.160248365	-0.234333804	0.592284996	0.619932107	-0.267488883	-1.254762742	0.159357857	0.281858297	-0.56516342	0.363905376	-1.860245665	-0.464347785	-0.772458613	-0.251985442	0.167758634
ENSG00000090621	PABPC4	1	2.634586511	-0.796654983	-1.117940809	-0.40696467	-1.392536775	-0.643082137	-1.48367794	0.099338574	0.772272839	1.064620214	1.00917199	0.532757736	0.503222962	0.405423883	-0.296788139	0.276051676	0.250930048	0.496088425	0.197864608	0.471667681	1.13015274	0.712352606	0.505057081	1.289157273	-0.260849417	0.963854347	0.598821097	0.600258493	-1.481310583	0.320720821	-0.337649699	-1.596600573	0.605107414	-0.144665091	-0.568112922	-1.738451585	-1.824373021	-1.349820673
ENSG00000091527	CDV3	1	2.578080433	-0.890051642	-0.159850364	-1.135965703	-1.164509582	-1.24836337	1.78394554	0.514116115	0.664720509	0.38902054	0.716602067	0.19267802	0.160196523	-0.054357379	-0.25452759	0.773584535	0.307355883	-0.223629266	0.310556119	0.738302041	0.542441337	0.235312376	0.668777784	0.95572076	0.378399467	0.355399894	0.015883899	1.450510828	-1.39790416	-0.063818399	-1.422805478	-0.176316	-1.522781622	1.243790243	-0.875607314	-1.566506515	-1.639966601	-1.17843393
ENSG00000092148	HECTD1	1	2.873456847	-0.636701904	-0.16744303	-0.022202386	-0.586723255	-0.040782859	-1.513916301	0.606344187	-0.019622192	0.052943295	0.125025227	0.560510549	0.300940831	0.427739792	0.38512256	-0.37216501	0.298797126	0.268876187	0.139860058	0.504508341	0.429834879	0.584444821	0.425586707	1.201085222	0.711814573	-0.373759955	0.131844881	0.127909969	-1.723615486	-1.779965169	-1.756354983	-0.058743614	-1.887799867	0.859279428	-0.703412549	-1.943386269	1.425712321	1.144957029
ENSG00000095627	TDRD1	1	2.550274269	-0.436962217	-0.814733056	-0.938893991	-1.001345698	1.552161584	-0.911379431	-0.483048101	1.747470528	0.013564215	-0.110461315	-0.25253323	0.235718547	-0.460604166	0.23817819	0.175703939	-0.161635457	-0.898622323	0.911956171	1.49780553	1.033920965	0.773160619	-0.040573632	-0.606788336	-0.236001996	-0.005415683	-0.20364562	-1.076097057	-1.220042264	1.23193939	-1.257528208	-1.299356702	1.466191086	-0.98955187	-0.028824894	0.957453737	0.712414123	-1.663867648
ENSG00000096070	BRPF3	1	2.685570807	-0.350198375	-0.650334474	-0.24497489	-0.012108449	-0.765997915	0.213056612	-0.57723	-0.735325787	0.237775765	-0.315466314	0.35574927	-0.174722373	0.621861122	1.192541471	0.795904695	0.208028567	0.130610858	1.064173233	1.813164102	-0.497138679	0.875803298	0.968058989	-0.084915882	0.290239236	1.03202406	-0.994054154	0.203220794	1.125737882	-1.07666356	-1.160555898	-1.176166109	-1.293655997	1.167388403	0.052981478	-1.53487484	-1.636879944	-1.752627002
ENSG00000096092	TMEM14A	1	1.921296175	-0.389419794	-0.524759385	-0.380262607	-0.252262003	-0.133397964	-0.611615004	-0.141457042	0.068016607	0.418192812	0.400559208	0.084639764	-0.083540672	0.034540451	0.707006944	-0.164294066	0.639044511	-0.721792456	1.301684503	-0.470976847	-0.193296296	0.659733879	-0.135866963	-0.63792993	-0.699686492	0.56145833	0.294561828	-0.78277786	-0.829650765	-0.893400023	-0.866689798	-0.908019606	-1.015393513	-0.862648918	-0.36691897	2.947809664	3.295697103	-1.268184806
ENSG00000099399	MAGEB2	1	2.664420065	-1.259054745	-1.374506087	-0.063844186	-0.937790381	-1.652975279	-1.655877158	-0.259592794	-1.324534105	0.403468827	0.320503342	0.629347167	0.153729671	0.562831323	0.248822539	0.997001252	0.543163534	0.936857527	0.964829797	0.742396859	-0.154449608	0.709929113	0.88028936	0.802788518	1.092091176	0.090530301	0.503079922	0.15843967	0.013850257	-1.002567958	-1.824439321	-1.851751562	0.81325441	-0.511418964	0.236570653	-0.261449226	0.621038803	-0.954982714
ENSG00000100075	SLC25A1	1	2.462363336	-0.418337691	-0.055870148	0.904786011	-0.004197565	0.458911231	-0.778478223	0.155566797	2.132939551	1.430589125	-0.723566634	0.170966144	-0.405278624	1.171464483	0.384954916	0.701488815	0.919675716	0.965561568	0.69532675	-0.913019612	0.758234408	0.439678634	0.215427892	-0.939108139	-0.873153626	-0.892375193	0.578832247	-0.962475047	-1.012863086	1.211380626	-1.052678567	-1.097107433	-1.21253349	-0.549329351	-1.25859971	-1.325544879	0.200648747	-1.48427998
ENSG00000100109	TFIP11	1	2.343529802	-0.455599259	-0.670570729	-0.285183294	-0.225712892	-0.753568169	-0.773423118	-0.347426029	-0.736814777	1.280352793	-0.068429573	-0.192818921	0.43365781	-0.175920665	-0.520274524	0.410372973	0.303545168	0.807595356	1.875799897	-0.535300944	-0.210471519	0.262302104	0.692851143	-0.314291531	-0.690625558	1.24605703	-0.653846145	-0.961691854	-0.887241587	3.184430728	-0.298715737	-1.099450041	-1.217555981	-1.200040341	0.328546746	-1.285661913	0.851549066	0.540044483
ENSG00000100225	FBXO7	1	2.654091499	-0.411255973	-0.939646445	-0.304014619	-0.595858912	-0.326735341	-1.465297696	0.389489869	-0.881495002	0.04381785	0.573496285	0.211846289	0.564029226	0.616905343	0.227741685	0.67868496	0.083689504	-0.55854848	-0.021032383	0.766697775	0.747397705	0.479756551	0.278987731	0.775240405	1.25266609	-1.308359102	0.673112307	-1.213721323	-1.611899039	-1.690468608	-1.646680743	-0.169038643	-1.831470851	1.515098706	0.790512434	1.09056181	-0.097921562	0.659620696
ENSG00000100316	RPL3	1	2.607155463	-2.435473498	0.281860795	0.231787404	-0.13282725	-0.050198316	1.150418797	0.510825714	0.189965546	0.460528162	0.222033893	0.067011557	0.23116036	-0.072486848	-0.098707316	0.302634274	0.123336985	0.779416323	0.206845371	-0.02622449	0.027614194	0.583528725	0.872098406	-0.120724596	0.594333873	0.158654247	0.274416542	-2.082901135	-3.050144332	-1.975208622	-0.329530459	0.210102894	0.559122481	-0.158094543	0.657866241	0.625825409	-0.734537946	-0.661484305
ENSG00000100664	EIF5	1	2.481954366	-1.591220678	0.341673964	0.472825259	0.380496932	0.637178117	1.965450662	0.172632144	-1.73241781	0.30030173	-0.132705922	0.41770942	-0.294596009	0.362484361	0.312600411	0.844834275	0.256370446	0.445910018	0.408824262	0.435063904	-0.132471938	0.743206384	0.59973849	-0.031008155	0.960278399	0.669697293	0.083784328	-0.851118184	-2.277898469	-0.570307205	-0.605862982	0.525141334	-1.738396379	-1.529981969	-0.926345919	-1.716292683	-0.147815455	0.46028326
ENSG00000100823	APEX1	1	2.368818403	-0.639102132	0.164741058	-0.344936861	-0.975418445	-0.969283836	-0.971939266	0.015325197	-0.951813159	-0.556579377	0.243958345	-0.182329692	0.022064187	-1.019920194	0.619395316	-1.02295329	1.16363182	0.756964164	0.857064443	1.719773058	-0.961289138	1.029090069	0.562214721	-0.189440111	0.194695012	-0.218523291	0.878512386	-1.075443452	-0.962134604	-0.679795998	0.386673096	2.058966555	-1.098921787	-0.641224186	-0.99464357	1.636177244	1.14660298	-1.368975664
ENSG00000100949	RABGGTA	1	2.396280728	-0.219786332	-0.704017533	0.093689324	1.137290634	-0.732353835	-0.777144117	1.052676397	-0.747526376	-0.245144995	0.812427073	0.629712666	0.81063587	0.152646194	0.794646781	0.631206945	0.708033146	0.046890381	0.314275424	1.318263989	-0.872164968	-0.180966376	-0.115101198	-0.272056168	0.796548575	-0.692002574	0.492627753	0.532013429	-0.971174306	-1.027904097	-0.891504768	-1.040914796	-1.136466917	-1.049175787	-1.174601791	2.783145166	-1.291577461	-1.36142608
ENSG00000101115	SALL4	1	2.63769526	-0.129165108	-0.359701844	-0.398863714	-0.44970923	-0.446516864	-0.451417974	1.38166104	-0.414271336	-0.415665906	0.798122267	0.361483882	0.61263831	-0.24793501	-0.181177023	-0.359744789	0.699111761	2.779029444	1.403202509	-0.064675975	-0.198354868	1.724277826	0.182334201	-0.015849307	-0.461149675	1.852032472	-0.545454921	-0.42380052	-0.694771077	-0.618451721	-0.736110013	-0.782238855	-0.902081445	-0.884308253	-0.949910291	-1.019416975	-1.096620538	-1.184225739
ENSG00000101126	ADNP	1	2.959932613	-0.730136674	-0.535073342	-1.009450112	-1.169619334	-1.874614456	0.240218636	-0.142711922	0.215397324	0.550700415	0.359542914	0.154201538	-0.112987714	0.05617617	0.056874796	0.147413828	0.160787757	0.28401635	-0.074353382	-0.967793747	-0.374525669	0.057444882	-0.09881046	1.626316719	-0.064592358	0.119569954	0.082719726	-0.347450212	-2.014979759	1.707066646	-1.89905156	-0.980328831	-0.382878161	-0.125813774	0.286159931	1.575605123	1.319491389	0.945534755
ENSG00000101182	PSMA7	1	2.381260648	-0.344887925	-0.873937475	-0.699253164	0.069266486	0.260617554	-0.99700193	0.844456086	0.148057032	0.642321411	0.421656831	0.330157752	1.015853485	0.38331273	0.017544464	-0.254818756	0.684079556	-0.477904793	1.051080868	0.836661336	-1.099739711	0.785379349	0.93516751	0.327470335	1.213511498	-0.817105402	-0.975341707	0.367170093	-1.206789895	-0.893713116	-1.242427045	2.627972947	-1.191314967	0.191387221	-0.665822876	-1.393738408	-1.553213955	-0.847374065
ENSG00000101189	MRGBP	1	2.495636643	-0.45805672	-0.584334902	0.210951156	-0.71212655	-0.681810513	-0.686320845	0.046336915	-0.443292142	-0.368179293	0.169463725	0.772454456	0.713080783	-0.024571172	0.861230022	0.3998929	0.714001782	1.461948904	1.197010553	2.344584377	1.254053361	-0.646604121	0.058756973	1.073965157	-0.776798783	1.190907873	-0.430272926	0.760394131	-0.910312949	-0.131222896	-0.948362847	-0.990821554	-1.101128311	-0.994032045	-0.98627738	-1.209129141	-1.28019018	-1.360824441
ENSG00000102048	ASB9	1	2.452584956	-0.397050741	-0.55765316	0.039224408	-0.680717245	-0.646869697	-0.651905438	1.076264108	2.528821624	0.771748135	-0.204269909	0.395876422	-0.210044983	0.652491485	0.128999027	0.043299921	0.131646508	-0.767447812	-0.081244072	1.551087991	1.055420601	1.234986254	0.607333528	0.105171396	1.069368302	-0.773432167	-0.321527407	-0.142993215	-0.90199035	-0.975108932	-0.944472676	-0.991877391	-1.115033767	-1.096769452	-1.164185506	-1.235615598	-1.314954527	1.330839377
ENSG00000102054	RBBP7	1	2.454513395	-0.804804548	-0.588678495	-0.07684563	0.275063336	0.021920732	1.298675112	0.232096573	0.026068025	0.850030849	-0.534887358	0.178456386	-0.523705856	-0.093293493	-0.152027986	-0.536049738	0.440501502	0.927306101	-0.214553227	-0.085026907	-0.108127499	-0.00589529	0.486673229	-0.450041403	0.212799415	0.69989625	0.03065192	-0.692046106	-1.931012879	0.818270816	-0.868525635	-2.056662706	2.303808106	-1.959249026	-0.757843683	-0.531084799	-0.387631364	2.101261883
ENSG00000102226	USP11	1	2.793864101	-1.19127862	-0.696608711	-0.815701484	-0.778979283	-1.156196307	1.187356808	0.43256017	1.48654089	0.883359776	0.302866665	0.565673064	0.681015825	0.25227869	-0.123421784	0.330389072	0.026389137	1.44648197	0.583146601	0.261029074	-0.325537012	0.463689766	0.54615456	0.262702165	0.661632782	1.242961913	-0.636643684	0.248277719	-0.855631688	-0.016173678	-1.57882425	-1.796309941	-1.879946636	0.128461238	-0.005813972	-1.548542031	-0.826300323	-0.55492258
ENSG00000104472	CHRAC1	1	2.675916527	-0.469100979	-0.747802136	-0.506977295	0.377361746	-0.825720434	0.081322305	-0.203649495	-0.796778788	-0.146458766	-0.283591661	-0.080667465	0.937769703	-0.07120513	-0.167907775	0.592836512	0.930140783	0.177529119	1.331380801	0.835357398	-0.937080087	0.093948589	-0.563102331	-0.995150011	1.62529224	-0.858879137	0.023637003	-0.753004416	-1.048531433	1.78014997	-1.085633736	-1.127035862	-1.234595539	-0.444367767	-0.793733722	-0.923170375	1.734630595	1.866871045
ENSG00000104863	LIN7B	1	2.311886511	-0.300432263	-0.59394897	0.447220085	-0.688655065	-0.662606926	-0.550445395	0.062076128	-0.637105529	2.064266496	-0.491479819	0.055371468	0.943419458	0.364798219	0.366457676	0.912344233	1.174862048	1.089880891	0.958300874	-0.776956375	-0.760732893	-0.081147043	0.237400677	1.266887729	-0.744221979	-0.051199024	0.132229996	-0.817564773	-0.858938941	-0.777222357	2.776890621	-0.928112893	-0.839165456	-1.008834546	-1.060715487	-1.027595226	-1.176741863	-0.330470283
